author_id,scholarly_output,citations_per_pub,most_recent_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub
6504318816,1,1,2012,1,0.06,2,0,1999
6504320910,31,6.5,2022,203,0.8,14,1,1997
6504321040,3,3.3,2021,10,0.33,3,0,2002
6504323105,1,0,2020,0,0,2,0,2011
6504329454,1,175,2013,175,7.83,1,1,2013
6504329459,3,4.7,2019,14,0.81,2,0,2000
6504334829,4,2,2017,8,0.28,3,0,2000
6504335369,7,5.1,2022,36,0.35,6,0,2004
6504336679,3,0.3,2013,1,0.04,1,0,2011
6504338758,1,2,2013,2,0.47,1,0,2013
6504344217,4,1.8,2021,7,0.4,5,0,1996
6504350077,1,5,2012,5,0.9,2,1,2003
6504353599,1,4,2014,4,0.25,1,0,2014
6504354701,2,4,2018,8,0.35,2,0,2016
6504358380,7,3,2022,21,0.57,6,0,2002
6504362311,1,0,2016,0,0,10,0,2016
6504368282,2,4.5,2019,9,0.4,3,0,2018
6504368875,3,43.3,2015,130,1.58,5,0,2013
6504370837,1,1,2017,1,0,1,0,2009
6504376025,1,5,2012,5,0.9,1,0,2012
6504379359,10,11.3,2021,113,1.62,8,1,2006
6504379864,1,3,2013,3,0.23,2,0,1996
6504388571,3,0.3,2020,1,0.12,1,0,2003
6504388990,11,6.7,2021,74,0.84,5,1,2010
6504390521,1,0,2014,0,0,0,0,2014
6504392006,3,7,2014,21,0.03,5,0,1997
6504394704,1,5,2012,5,0,4,0,2012
6504398179,6,4.3,2020,26,0.11,2,0,2007
6504400087,2,4.5,2017,9,0.16,3,0,2004
6504401157,17,24,2022,408,1.4,11,2,2009
6504401168,2,15,2018,30,1.68,3,0,2017
6504405532,4,12.5,2018,50,0.64,6,0,2007
6504406267,1,1,2017,1,0,1,1,2007
6504406905,1,6,2019,6,0.57,2,0,2004
6504407455,4,1.8,2022,7,0.21,3,0,2003
6504408896,1,0,2015,0,0,2,0,2015
6504408993,1,5,2017,5,0.52,4,0,2017
6504413703,20,16.3,2020,325,1.1,11,3,2001
6504420320,22,20,2022,439,1.1,14,3,2002
6504422964,1,0,2017,0,0,0,0,2017
6504423846,4,8.5,2019,34,0.54,7,0,2004
6504423868,1,20,2017,20,1.18,1,0,2017
6504426287,1,4,2018,4,0.29,2,0,2018
6504426342,1,0,2015,0,0,2,0,1997
6504427216,2,2,2021,4,0.22,7,0,2015
6504431466,3,0.3,2022,1,0.44,1,0,2021
6504434446,2,3,2021,6,0.73,3,0,2001
6504439622,1,0,2017,0,0,0,0,2017
6504446536,8,2.8,2022,22,1.12,4,0,2015
6504447414,7,14.4,2020,101,1,3,1,2012
6504448925,1,24,2017,24,1.12,2,0,2017
6504452473,1,2,2018,2,0.09,11,0,2009
6504460249,2,36.5,2017,73,0.67,9,0,2014
6504460249,3,3,2022,9,0.26,9,1,2000
6504461599,11,14.9,2022,164,0.97,9,1,2017
6504461841,18,8.3,2022,150,0.48,9,0,2006
6504476668,1,5,2012,5,1.02,1,0,2012
6504478449,7,5.1,2022,36,0.35,6,0,2004
6504484213,2,13,2017,26,0.71,7,0,2003
6504487904,1,7,2018,7,0.58,1,0,1999
6504491430,9,5.6,2022,50,0.34,9,0,2010
6504492283,2,26,2018,52,2.22,3,1,2003
6504494152,1,8,2016,8,0.38,1,0,2016
6504494908,2,0.5,2019,1,0.04,1,0,1998
6504495496,1,6,2014,6,0.31,3,0,2014
6504503147,2,0.5,2022,1,1.74,1,1,2014
6504505327,3,2,2019,6,0.14,3,0,2003
6504509076,3,38.3,2015,115,1.5,9,1,2000
6504512718,3,6.7,2017,20,0.28,8,0,2013
6504514196,14,3,2022,42,0.25,6,2,2002
6504516852,1,22,2019,22,2.55,1,1,2019
6504524893,1,4,2017,4,0.65,13,0,2017
6504526291,22,10,2022,221,1.7,11,3,2004
6504529819,31,7.1,2022,220,0.58,13,3,1998
6504530562,6,29.8,2017,179,0.79,10,0,2003
6504533853,5,3.6,2022,18,0.27,4,0,2004
6504534093,1,1,2012,1,0.18,1,0,2012
6504544339,2,18,2014,36,0.66,6,0,2003
6504545583,1,5,2012,5,0.26,4,0,2005
6504546867,3,5.3,2021,16,0.58,2,0,1998
6504559990,1,1,2014,1,0.34,1,0,1998
6504563233,3,17.3,2018,52,0.63,5,0,2000
6504563379,1,0,2021,0,0,4,0,2008
6504565378,1,32,2013,32,1.54,1,0,2013
6504566321,1,2,2014,2,0,10,0,2003
6504568727,1,7,2018,7,0.75,3,0,2018
6504569649,4,2.3,2022,9,0.35,2,0,2020
