,author_id,scholarly_output,citations_per_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub,no_first_old,no_pubs_old,avg_fwci_old,avg_fwvi_old,avg_citescore_old,risingStar
2531,57194946488.0,10,11.5,115,1.37,5,2,2017,0.0,1.0,0.68,1.71,4.3,True
2532,57194947554.0,8,39.4,315,2.29,8,3,2017,0.0,1.0,1.12,1.7,7.3,True
2533,57194948720.0,2,5.0,10,0.7,2,0,2017,0.0,1.0,0.38,4.29,1.0,True
2534,57194972757.0,3,1.0,3,0.12,1,0,2017,0.0,2.0,0.065,0.41,0.4,True
2535,57194973891.0,6,1.0,6,0.59,1,0,2017,0.0,2.0,0.0,1.135,1.25,False
2536,57194974517.0,4,0.5,2,0.09,1,0,2017,0.0,0.0,0.0,0.0,0.0,True
2537,57194975496.0,2,0.0,0,0.0,0,0,2017,0.0,2.0,0.0,0.115,0.4,False
2538,57194977839.0,7,124.4,871,8.34,6,2,2017,0.0,1.0,0.49,0.61,10.7,True
2539,57194978954.0,3,4.3,13,0.54,2,0,2017,0.0,4.0,0.8474999999999999,1.2125,4.85,False
2540,57195033357.0,2,51.5,103,2.43,1,1,2017,0.0,2.0,2.43,1.35,3.75,False
2541,57195034525.0,1,13.0,13,1.35,1,0,2017,0.0,1.0,1.35,0.84,1.6,False
2542,57195034559.0,2,9.0,18,1.06,3,0,2017,0.0,1.0,0.56,1.03,6.3,False
2543,57195036346.0,1,69.0,69,4.06,1,1,2017,0.0,1.0,4.06,1.78,7.3,False
2544,57195037400.0,9,27.0,243,2.06,7,4,2017,0.0,2.0,0.42,1.005,3.05,True
2545,57195039304.0,1,11.0,11,0.6,1,0,2017,0.0,1.0,0.6,3.26,1.6,False
2546,57195039562.0,1,7.0,7,0.56,1,0,2017,0.0,1.0,0.56,1.03,6.3,False
2547,57195039617.0,1,23.0,23,1.33,1,0,2017,0.0,1.0,1.33,1.32,7.0,False
2548,57195052212.0,2,5.0,10,0.78,2,0,2017,0.0,0.0,0.0,0.0,0.0,True
2549,57195054126.0,1,7.0,7,0.69,1,0,2017,0.0,1.0,0.69,1.62,6.6,False
2550,57195055764.0,1,7.0,7,0.69,1,0,2017,0.0,1.0,0.69,1.62,6.6,False
2551,57195064390.0,3,28.7,86,2.6,3,1,2017,0.0,2.0,3.12,2.515,5.6,True
2552,57195067437.0,1,26.0,26,0.88,2,0,2017,0.0,1.0,0.88,2.04,4.8,False
2553,57195068724.0,4,16.0,64,2.7,3,1,2017,0.0,1.0,0.88,2.04,4.8,True
2554,57195069380.0,9,14.2,128,1.93,7,2,2017,0.0,0.0,0.0,0.0,0.0,True
2555,57195069455.0,7,3.4,24,0.45,2,0,2017,0.0,5.0,0.584,1.634,0.5800000000000001,False
2556,57195069682.0,1,24.0,24,1.4,1,0,2017,0.0,1.0,1.4,1.9,6.8,False
2557,57195070021.0,2,2.0,4,0.14,2,0,2017,0.0,0.0,0.0,0.0,0.0,True
2558,57195070156.0,2,2.0,4,0.14,1,0,2017,0.0,1.0,0.28,1.95,5.7,False
2559,57195070427.0,4,1.3,5,0.09,1,0,2017,0.0,0.0,0.0,0.0,0.0,True
2560,57195071168.0,3,3.0,9,0.13,2,0,2017,0.0,3.0,0.13333333333333333,1.05,4.233333333333333,False
2561,57195071449.0,3,3.0,9,0.13,2,0,2017,0.0,3.0,0.13333333333333333,1.05,4.233333333333333,False
2562,57195073141.0,1,4.0,4,0.28,1,0,2017,0.0,1.0,0.28,0.81,2.8,False
2563,57195073910.0,1,3.0,3,0.13,1,0,2017,0.0,1.0,0.13,0.76,4.2,False
2564,57195074710.0,2,13.5,27,0.69,3,0,2017,0.0,1.0,0.61,0.83,4.2,False
2565,57195075396.0,1,26.0,26,2.58,1,1,2017,0.0,1.0,2.58,6.91,2.6,False
2566,57195100668.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.14,1.6,False
2567,57195101057.0,1,2.0,2,0.23,1,0,2017,0.0,1.0,0.23,0.92,6.5,False
2568,57195101657.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.14,1.6,False
2569,57195103448.0,1,2.0,2,0.23,1,0,2017,0.0,1.0,0.23,0.92,6.5,False
2570,57195108939.0,3,10.0,30,1.12,2,0,2017,0.0,0.0,0.0,0.0,0.0,True
2571,57195109549.0,3,5.0,15,2.61,2,1,2017,0.0,1.0,6.8,1.64,0.0,False
2572,57195109680.0,4,6.0,24,0.78,4,0,2017,0.0,2.0,0.77,0.475,4.5,False
2573,57195126410.0,64,1.2,75,0.36,4,0,2017,0.0,1.0,0.64,0.87,1.9,True
2574,57195128947.0,2,17.0,34,1.29,2,0,2017,0.0,1.0,0.7,1.52,3.8,False
2575,57195130924.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.42,1.2,False
2576,57195132605.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.55,0.9,False
2577,57195133592.0,7,12.3,86,2.95,4,2,2017,0.0,2.0,0.2,0.495,1.6,False
2578,57195133625.0,7,4.3,30,4.87,5,2,2017,0.0,1.0,0.73,1.73,4.3,True
2579,57195133810.0,2,9.0,18,0.53,2,0,2017,0.0,2.0,0.13,0.755,2.25,False
2580,57195133880.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.55,0.9,False
2581,57195136133.0,1,9.0,9,0.37,1,0,2017,0.0,1.0,0.37,1.02,9.8,False
2582,57195136354.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.55,0.9,False
2583,57195137417.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.55,0.9,False
2584,57195148351.0,2,0.5,1,0.09,1,0,2017,0.0,0.0,0.0,0.0,0.0,True
2585,57195150661.0,1,5.0,5,0.4,1,0,2017,0.0,1.0,0.4,1.46,0.7,False
2586,57195151668.0,1,32.0,32,1.72,1,0,2017,0.0,1.0,1.72,2.74,11.5,False
2587,57195152012.0,1,32.0,32,1.72,17,0,2017,0.0,1.0,1.72,2.74,11.5,False
2588,57195153858.0,3,11.0,33,0.75,3,0,2017,0.0,1.0,0.43,1.47,4.6,False
2589,57195153887.0,4,11.3,45,0.74,2,0,2017,0.0,2.0,1.37,2.425,8.55,False
2590,57195154549.0,2,26.5,53,3.31,2,1,2017,0.0,2.0,3.305,1.37,3.95,False
2591,57195197060.0,2,18.5,37,0.99,2,0,2017,0.0,1.0,1.62,1.28,14.7,False
2592,57195200191.0,7,1.9,13,0.25,2,0,2017,0.0,2.0,0.0,0.48000000000000004,0.0,False
2593,57195201600.0,5,6.8,34,0.76,3,0,2017,0.0,1.0,0.58,1.84,6.5,True
2594,57195202376.0,1,9.0,9,0.58,1,0,2017,0.0,1.0,0.58,1.84,6.5,False
2595,57195202684.0,6,5.0,30,0.6,3,0,2017,0.0,1.0,0.58,1.84,6.5,False
2596,57195214101.0,10,13.8,138,3.17,4,6,2017,0.0,0.0,0.0,0.0,0.0,True
2597,57195214421.0,1,3.0,3,0.0,1,0,2017,0.0,1.0,0.0,1.09,1.1,False
2598,57195216201.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,1.2,1.0,False
2599,57195217427.0,2,0.5,1,0.06,1,0,2017,0.0,1.0,0.11,0.98,1.6,False
2600,57195218653.0,7,11.3,79,1.02,5,1,2017,0.0,3.0,0.8666666666666667,1.1733333333333331,1.9333333333333336,True
2601,57195221978.0,31,5.2,161,0.88,7,1,2017,0.0,2.0,1.47,1.7449999999999999,3.6500000000000004,True
2602,57195223318.0,1,22.0,22,1.03,1,0,2017,0.0,1.0,1.03,1.17,7.6,False
2603,57195225277.0,5,18.8,94,1.55,6,0,2017,0.0,2.0,1.545,3.57,4.0,True
2604,57195225335.0,4,18.3,73,1.0,3,1,2017,0.0,3.0,1.34,1.05,5.900000000000001,False
2605,57195226610.0,2,15.5,31,0.55,2,0,2017,0.0,1.0,0.62,1.29,5.0,False
2606,57195226805.0,1,65.0,65,3.35,1,1,2017,0.0,1.0,3.35,1.33,10.4,False
